"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Успешная авторизация","project_YT.tests.frontend.shop_services","2026-02-27","passed","2026-02-27","TestLogin","test_login","",""
"","78","Не успешная авторизация вводом пустых строк","project_YT.tests.frontend.shop_services","2026-02-27","passed","2026-02-27","TestLogin","test_login","",""
"","5137","Не успешная авторизация вводом не валидных данных","project_YT.tests.frontend.shop_services","2026-02-27","failed","2026-02-27","TestLogin","test_login","",""
"","204","Получение всех товаров в каталоге","project_YT.tests.frontend.shop_services","2026-02-27","passed","2026-02-27","TestCatalog","test_catalog","",""
